"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4758","ENSG00000198961",4425.328,-0.1751594,0.04512222,9.50331e-05,0.00031834,"PJA2","DOWN"
"4759","ENSG00000198964",719.5782,-0.3194354,0.09184995,0.0003726631,0.001143327,"SGMS1","DOWN"
"4760","ENSG00000203485",2014.929,-0.6583569,0.05991247,1.237403e-28,1.882986e-27,"INF2","DOWN"
"4761","ENSG00000203667",738.0332,-0.427911,0.09640857,5.254649e-06,2.065998e-05,"COX20","DOWN"
"4762","ENSG00000203668",2988.154,-0.2763423,0.05121834,5.509996e-08,2.622478e-07,"CHML","DOWN"
"4763","ENSG00000203883",141.3406,-0.4626235,0.18139221,0.00531058,0.01333689,"SOX18","DOWN"
"4764","ENSG00000203993",865.9688,-0.2332396,0.081556,0.003598777,0.009340902,"ARRDC1-AS1","DOWN"
"4765","ENSG00000203995",615.7575,-0.578895,0.09534823,4.716141e-10,2.664831e-09,"ZYG11A","DOWN"
"4766","ENSG00000204070",561.304,-0.3835574,0.12392501,0.001247622,0.003515358,"SYS1","DOWN"
"4767","ENSG00000204103",173.0389,-0.6977778,0.17966663,2.237942e-05,8.156623e-05,"MAFB","DOWN"
"4768","ENSG00000204104",1376.254,-0.3655731,0.09419412,6.983217e-05,0.000238263,"TRAF3IP1","DOWN"
"4769","ENSG00000204149",430.3481,-0.6293016,0.13871544,1.711782e-06,7.067828e-06,"AGAP6","DOWN"
"4770","ENSG00000204160",1920.71,-0.3727894,0.0760969,6.427495e-07,2.759196e-06,"ZDHHC18","DOWN"
"4771","ENSG00000204209",3610.433,-0.5471131,0.05241732,7.048954e-26,9.495431e-25,"DAXX","DOWN"
"4772","ENSG00000204220",2229.72,-0.6063577,0.05797912,4.645681e-26,6.327589e-25,"PFDN6","DOWN"
"4773","ENSG00000204227",2352.489,-0.3055208,0.05192732,3.08084e-09,1.622792e-08,"RING1","DOWN"
"4774","ENSG00000204256",16399.44,-0.5994012,0.03329911,6.897337e-73,4.00749e-71,"BRD2","DOWN"
"4775","ENSG00000204267",2120.581,-0.1926406,0.0648969,0.002683172,0.007144224,"TAP2","DOWN"
"4776","ENSG00000204272",1031.654,-0.3180027,0.08433522,0.000120732,0.0003992135,"NBDY","DOWN"
"4777","ENSG00000204304",6853.659,-0.2806211,0.03809036,1.398686e-13,1.010543e-12,"PBX2","DOWN"
"4778","ENSG00000204315",440.0059,-0.3927021,0.10687249,0.0001495855,0.0004883996,"FKBPL","DOWN"
"4779","ENSG00000204316",2299.865,-0.4727758,0.05478912,3.254063e-18,3.039835e-17,"MRPL38","DOWN"
"4780","ENSG00000204366",1172.145,-0.4746094,0.06953665,4.562229e-12,2.972116e-11,"ZBTB12","DOWN"
"4781","ENSG00000204386",1392.148,-0.1708698,0.07016399,0.01361538,0.03144147,"NEU1","DOWN"
"4782","ENSG00000204388",40027.45,-1.418065,0.05112093,1.214883e-171,4.39449e-169,"HSPA1B","DOWN"
"4783","ENSG00000204389",47408.42,-1.425401,0.04727686,5.475206e-202,3.451726e-199,"HSPA1A","DOWN"
"4784","ENSG00000204392",1766.276,-0.4203879,0.06016015,1.678945e-12,1.123284e-11,"LSM2","DOWN"
"4785","ENSG00000204394",4318.809,-1.103253,0.04625828,2.676932e-127,4.543577e-125,"VARS1","DOWN"
"4786","ENSG00000204427",706.9883,-0.3293314,0.09206684,0.0002513481,0.0007914936,"ABHD16A","DOWN"
"4787","ENSG00000204435",4006.475,-0.1629468,0.0510495,0.001308829,0.003675615,"CSNK2B","DOWN"
"4788","ENSG00000204469",24412.4,-0.2804906,0.03325726,2.686386e-17,2.393986e-16,"PRRC2A","DOWN"
"4789","ENSG00000204514",148.3839,-0.5816128,0.26240071,0.007999495,0.01940511,"ZNF814","DOWN"
"4790","ENSG00000204519",346.2242,-0.8467166,0.13416895,3.217958e-11,1.975083e-10,"ZNF551","DOWN"
"4791","ENSG00000204525",8952.25,-0.09691935,0.04039102,0.01596174,0.03621923,"HLA-C","DOWN"
"4792","ENSG00000204560",3083.538,-0.526889,0.05111544,2.92283e-25,3.841111e-24,"DHX16","DOWN"
"4793","ENSG00000204568",2520.334,-0.4623317,0.0513582,1.199351e-19,1.199623e-18,"MRPS18B","DOWN"
"4794","ENSG00000204569",2907.808,-0.7865835,0.07664237,1.697904e-25,2.256882e-24,"PPP1R10","DOWN"
